Node,Latitude,Longitude
Junction_1126,336973.85023,4696104.241641
Junction_1127,336973.774441,4696102.74564
Junction_1128,336973.601539,4696121.864517
Junction_1129,336980.888468,4696123.588334
Junction_113,338883.425142,4695915.559558
Junction_1130,336976.603202,4696121.652469
Junction_1131,336976.649807,4696120.871104
Junction_1132,336981.363924,4696122.818534
Junction_1133,336998.16699,4696110.38358
Junction_1134,336996.173958,4696117.340422
Junction_1135,336997.045478,4696118.406219
Junction_1136,336993.699462,4696111.649111
Junction_1137,336994.422608,4696110.123726
Junction_1138,336975.355542,4696104.200543
Junction_1139,336757.283561,4696120.185852
Junction_114,338881.519462,4695914.611849
Junction_1140,336750.799822,4696109.117648
Junction_1141,336750.377278,4696103.034228
Junction_1142,336749.653481,4696114.978457
Junction_1143,336749.553564,4696113.481906
Junction_1144,336787.501278,4696125.841071
Junction_1146,336792.375032,4696241.62128
Junction_1147,336420.765902,4693597.488793
Junction_1148,336421.944982,4693597.860729
Junction_1149,336136.326695,4693126.806108
Junction_115,338890.153317,4695918.812916
Junction_1150,336133.439415,4693119.244858
Junction_1151,336558.834597,4693631.18383
Junction_1152,336561.952746,4693621.192186
Junction_1153,336543.550659,4693622.848625
Junction_1154,336546.382773,4693616.853107
Junction_1155,336541.799058,4693591.508995
Junction_1156,336544.214536,4693588.256138
Junction_1157,336547.025175,4693615.499673
Junction_1158,336579.619273,4693635.363972
Junction_1159,336577.836286,4693622.663308
Junction_116,338885.211233,4695931.835808
Junction_1160,336512.175888,4693494.850466
Junction_1161,336511.355928,4693493.59805
Junction_1162,335314.011659,4693539.038483
Junction_1163,335313.914195,4693540.527376
Junction_1164,335645.838578,4693619.586356
Junction_1165,335645.839379,4693619.584805
Junction_1166,335542.386498,4693558.830097
Junction_1167,335540.070588,4693567.981658
Junction_1168,335478.795522,4693539.006296
Junction_1169,335478.233163,4693550.938411
Junction_117,338922.463733,4695933.097735
Junction_1170,335472.781182,4693539.036932
Junction_1171,335472.725017,4693550.98877
Junction_1172,335456.850487,4693539.118177
Junction_1173,335456.627676,4693542.855901
Junction_1174,335450.479781,4693538.932409
Junction_1175,335449.999819,4693536.04513
Junction_1176,335430.333001,4693539.019111
Junction_1177,335431.715019,4693548.197103
Junction_1178,335518.727808,4693557.126804
Junction_1179,335516.705191,4693557.348814
Junction_118,338918.196338,4695940.408191
